Date,Retail Gasoline Prices  (USD_per_Gallon)
12/31/18,2.24
01/07/19,2.24
01/14/19,2.27
01/21/19,2.30
01/28/19,2.26
02/04/19,2.35
02/11/19,2.41
02/18/19,2.48
02/25/19,2.61
03/04/19,2.58
03/11/19,2.67
03/18/19,2.80
03/25/19,2.88
04/01/19,3.00
04/08/19,3.10
04/15/19,3.09
04/22/19,3.18
04/29/19,3.22
05/06/19,3.27
05/13/19,3.34
05/20/19,3.26
05/27/19,3.26
06/03/19,3.27
06/10/19,3.09
06/17/19,2.97
06/24/19,3.05
07/01/19,3.16
07/08/19,3.19
07/15/19,3.39
07/22/19,3.21
07/29/19,3.19
08/05/19,3.08
08/12/19,2.91
08/19/19,2.89
08/26/19,2.92
09/02/19,2.88
09/09/19,2.79
09/16/19,2.87
09/23/19,2.99
09/30/19,2.86
10/07/19,2.93
10/14/19,2.94
10/21/19,2.84
10/28/19,2.79
11/04/19,2.73
11/11/19,2.74
11/18/19,2.80
11/25/19,2.74
12/02/19,2.68
12/09/19,2.76
12/16/19,2.73
12/23/19,2.73
12/30/19,2.73
01/06/20,2.76
